sample,fastq_1,fastq_2
group1,/restricted/projectnb/casa/mtLin/nf_core_cirRNA/toy_data/1000-minus_215_362_S155_L003_1.fastq.gz,/restricted/projectnb/casa/mtLin/nf_core_cirRNA/toy_data/1000-minus_215_362_S155_L003_2.fastq.gz
group2,/restricted/projectnb/casa/mtLin/nf_core_cirRNA/toy_data/1001-minus_204_373_S148_L003_1.fastq.gz,/restricted/projectnb/casa/mtLin/nf_core_cirRNA/toy_data/1001-minus_204_373_S148_L003_2.fastq.gz
